DOI,REVIEWER,DATA AVAILABILITY,TRACERS,ISOTOPE-METHOD,COMPARTMENT,COUNTRY,CATCHMENT,LATITUDE,LONGITUDE,ELEVATION,GEOLOGICAL SYSTEM,MODEL,STUDY LENGTH,SAMPLING FREQUENCY,OBJECTIVE,KEYWORDS
https://piahs.copernicus.org/articles/369/25/2015/,Harsh Beria,No,Stable water isotopes,Laser Absorption Spectroscopy,Deep Ground Water,Georgia,Gudjareti (Georgia),42.315,43.357,"Gudjareti (794-1703m a.s.l),",Not mentioned,Hydrograph separation," Gudjareti (starting 2010),",biweekly and irregular,"To evaluate how summer low flows and droughts are affected by the winter snowpack in Alpbach (Prealps, central Switzerland), Gudjaretis-Tskali (Little Caucasus, central Georgia), and Kamenice (Jizera Mountains, northern Czech Republic).","stable water isotopes, groundwater recharge"
https://www.sciencedirect.com/science/article/pii/S0883292708000097?via%3Dihub,Harsh Beria,"Yes (e.g., in repository or paper)","Stable water isotopes, Electrical Conductivity",Isotope Ratio Mass Spectrometry,Springs and groundwater,Spain,Granada basin,37.132,-3.55,550 m a.s.l,"Catchment has Miocene, Pliocene and Quaternary sediments",Statistical model,2004-2005,Irregular,Improve understanding of recharge processes in watersheds representative for karstic semiarid areas by means of stable isotope analysis and hydrogeochemistry,"groundwater recharge elevation, stable water isotopes, cations/anions"
https://acsess.onlinelibrary.wiley.com/doi/full/10.2136/vzj2017.09.0170,Harsh Beria,Partly (upon request authors),Stable water isotopes,Isotope Ratio Mass Spectrometry,Deep Ground Water,France,Paris basin site (France),48.775,2.002,Not mentioned,"France: Fine and well-sorted sands of the Oligocene Fontainebleau aquifer (unconfined aquifer with maximum thickness of 50-70 m). Porosity: 25-40%, volumetric water content in the unsaturated zone: 7-28%. Hydraulic conductivity: 1.10^(-5)  - 6.1^(-5) m/s",Process based and/or conceptual model,France: 2002-2006,France: Monthly,Estimate groundwater recharge using stable water isotopes of precipitation and soil water,groundwater recharge;
https://www.tandfonline.com/doi/full/10.1080/02626667.2018.1442577,Harsh Beria,No,Stable water isotopes,Isotope Ratio Mass Spectrometry,Shallow Ground Water,Canada,Not applicable,48.498,-71.045,Not mentioned,"Deltaic deposit (fine sand with silt), mean acquifer thickness is 15m and vadoze zone thickness is 0-5 m",Process based and/or conceptual model,April - May 2016,irregular,Use stable water isotopes in precipitation and soil water to estimate groundwater recharge,vadose zone; δ18O; δ2H; groundwater recharge; soil properties; site effects; heterogeneity
https://doi.org/10.5474/geologija.2021.012,Polona Vreča,"Yes (e.g., in repository or paper)","Stable water isotopes, Electrical Conductivity, T, pH,  partly: TDS, cations, anions",Isotope Ratio Mass Spectrometry,"Springs, river, precipitation ",Slovenia,Triglavska Bistrica River,46.416,13.856,"645.8 to 1,216.4 m","Alpine river catchment, karstified aquifer",Tracer-aided model,2 monthly campaigns in 2020,monthly,"To identify the source,  type,  and  amount  of  the  different  water  components  of  the  Triglavska  Bistrica  River  recharge, to describe their spatial variations using hydrochemical,   isotopic,   and   hydrogeological   methods, and to estimate the mean recharge altitude of the Triglavska Bistrica River","groundwater, oxygen and hydrogen isotopes, hydrogeochemistry, recharge area, Alpine aquifer, Slovenia"
https://doi.org/10.1007/s12665-016-6104-5,Polona Vreča,"Yes (e.g., in repository or paper)","Stable water isotopes, Electrical Conductivity, T, pH, cations, anions ",Isotope Ratio Mass Spectrometry,"Springs, stream",Slovenia,Radovna River,46.431,13.963,461 to 955 m,"Alpine river catchment, karstic and alluvial aquifer","Tracer-aided model, Process based and/or conceptual model","3 Years (2005-2007), monthly data",Monthly,"To investigate spring water, river water and groundwater facies, to determine spatial and temporal variations, average recharge altitudes, mean residence times and mechanisms controlling water geochemistry","groundwater-dominated river, groundwater residence time, mean recharge altitude, Karst-porous aquifer interaction, stable isotopes, major ion geochemistry"
https://doi.org/10.1007/s12665-016-5479-7,Polona Vreča,"Yes (e.g., in repository or paper)","Stable water isotopes, Electrical Conductivity, T, discharge estimate",Isotope Ratio Mass Spectrometry,"Groundwater, surface water",Slovenia,River Savica,46.293,13.833,525 to 767.5 m,"Alpine river catchment, karstic aquifer","Tracer-aided model, Process based and/or conceptual model",Snapshot (2010 and 2011); detailed hydrogeological mapping every 100 m,3 times at ow flow conditions,To apply hydrogeological mapping methodology to obtain a conceptual model and to estimate the contribution of different karstic groundwater components to the river outflow,"Hydrogeological mapping, surface water groundwater interaction, stable isotopes, karst, River Savica"
https://doi.org/10.1007/s42452-019-1561-6,Polona Vreča,"Yes (e.g., in repository or paper)","Stable water isotopes, Trititum, Electrical Conductivity, T, pH, total alkalinity, trace elements",Isotope Ratio Mass Spectrometry,"Groundwater, surface water, precipitation",Slovenia,Velenje coal basin,46.38,15.024,Not mentioned,Pleistocene (alluvial) and Triassic (carbonate) aquifers,Tracer-aided model,Snapshot (2014 and 2015),Irregular for GW and SW; precipitation monthly or bimonthly (2012-2015),To investigated the mineralogical and isotopic composition of groundwater and precipitation to identify and constrain geochemical processes within stacked Pliocene and Triassic aquifers ,"Geochemical processes, SEM, trace elements, isotopes, Velenje coal Basin, Slovenia"
https://doi.org/10.1016/j.apgeochem.2020.104820,Taha ATTOU,"Yes (e.g., in repository or paper)","Stable water isotopes, Electrical Conductivity, nitrogen, carbon and sulfur stable isotopes",Isotope Ratio Mass Spectrometry,"Wetlands, springs and shallow groundwater",Spain,Guadalquivir basin Andalucian basin,37.37,-4.77,200 m to  495 m,evaporitic system,isotopic tracing of solute transport,Punctual,Punctual,The article focuses on unraveling the relationship between hydrogeological processes and pollutant removal in an evaporitic karst system,"Brine groundwater
Stable isotopes
Evaporitic karst aquifer
Solute transport
Nitrate attenuation"
https://doi.org/10.1002/hyp.13480,Taha ATTOU,Partly (upon request authors),Chloride,Not mentionned,Rainfall and soil water,Germany,Elbe watershed,53.142,13.039,60,Glacial deposit ,"Tracer-aided model, Process based and/or conceptual model",14 years,Fornightly,Evaluate the effects of vegetation cover on water balance partitioning and associated flux ages under temperate forest and grassland ,"forest hydrology, ecohydrology, tracers, tracer‐aided models"
https://doi.org/10.5194/gmd-11-3045-2018,Taha ATTOU,No,Stable water isotopes,Laser Absorption Spectroscopy,"Rain, soil, xylem and shallow groundwater",Scotland,Bruntland Burn Catchement,57.133,-3.3,250 to 560 m ,Glacial drift dominated hydrogeological system.,"Tracer-aided model, Process based and/or conceptual model",3 years,Irregular,"Evaluates the model's performance in capturing the spatiotemporal dynamics of isotopes and ages across various landscape positions and compartments in a montane, low-energy experimental catchment",Stable isotopes
https://doi.org/10.1002/hyp.11050,Giulia Zuecco,Partly (upon request authors),"Stable water isotopes, Electrical Conductivity",Laser Absorption Spectroscopy,Springs,Italy,Rio Vauz,46.49,11.84,About 2500 m a.s.l.,Complex with mainly dolomite and carbonate formations,Simplified two-component mixing model (no discharge data used),About 5 years,Irregular,To investigate the surface flow time of rise in response to rainfall and snowmelt events at different spatial scales and the main sources originating channel runoff and spring water,"electrical conductivity, flow pathways, isotopes, nested catchment, time of rise, water origin"
https://hess.copernicus.org/articles/18/5271/2014/,Giulia Zuecco,No,"Stable water isotopes, Electrical Conductivity",Laser Absorption Spectroscopy,Springs,Italy,Saldur,46.74,10.7,About 2680 m a.s.l.,"Geologically, the Saldur catchment belongs to the Matsch Unit. The Matsch Unit mainly consists of gneisses, mica gneisses and schists.",Simplified two-component mixing model (no discharge data were used),About 3 years,Irregular,"To identify the water sources for runoff and groundwater and their seasonal variability
in a glacierized catchment in the Italian Alps.","Not reported in the paper, but keywords could be: stable isotopes, electrical conductivity, spring water, glacierized catchment"
https://sciendo.com/article/10.2478/johh-2018-0018,Giulia Zuecco,"Yes (e.g., in repository or paper)",Stable water isotopes,Laser Absorption Spectroscopy,Shallow Ground Water,Czech Republic,Uhlířská,50.83,15.15,822 m a.s.l.,Weathered and fractured granite bedrock,"Statistical model, Recharge index for winter/summer recharge ratios, and summation curves",9 years,"1-2 month interval for soil water and groundwater, monthly for precipitation. Stream water is collected weekly (during low flows) or every 6 hours (during high flows in summer and the snowmelt period).",To investigate the seasonality of groundwater recharge,"18O isotope, precipitation, soil water and groundwater, snowmelt/recharge ratios, winter, summer"
https://hess.copernicus.org/articles/24/3475/2020/,Giulia Zuecco,Partly (upon request authors),"NO tracers were used in this study, only modelling approaches",No isotopic composition,No clear distinction between shallow and deep groundwater,Czech Republic,59 mountain catchments,50.9,18.7,Varying between 491 and 1297 m a.s.l.,"Depending on the catchment. Geologies consist mainly of granite rock, metamorphic rock or flysch.","a bucket-type HBV model (Hydrologiska Byråns Vattenbalansavdelning) in its software implementation “HBV light” (Seibert and Vis, 2012)",About 35 years,Not applicable,"To quantify (1) how inter-annual variations in snow storages affect spring and summer runoff, including summer low flows, and (2) the importance of snowmelt in generating runoff compared to rainfall.","Not present, but keywords could be: snowmelt contribution, storage, HBV model, mountain catchments"
https://doi.org/10.1016/j.scitotenv.2018.05.305,Hatice Turk,Partly (upon request authors),"Stable water isotopes, Electrical Conductivity",Laser Absorption Spectroscopy,Deep Ground Water,Spain, Bérchules River Watershed,37,-3.12,2070  ,Alpine watershed,"Statistical model, Process based and/or conceptual model",months,irregular, How  managed recharge technique modifies the natural response of these basins this work focuses on characterizing the hydrological behavior of one of the sites,"Alpine watershed, Aquifer managed recharge, Hydrogeochemistry , Isotope hydrology ,Increased water resources Acequia de careo"
https://link.springer.com/chapter/10.1007/978-3-319-09054-2_113,Giulia Zuecco,No,"Stable water isotopes, Electrical Conductivity, Major ions (Ca2+, Mg2+, Na+ , K+, SO42−, HCO3 −, Cl−)",Not reported,Springs,Italy,Mt. Modino area,44.3,10.5,Elevation from 500 to 1414 m a.s.l.,Overlap of a highly disrupted flysch unit at the top and substantially impermeable clayey and marly unit at the bottom,Estimation of the maximum water volume that can be stored in the spring aquifer and exhaustion coefficient based on discharge data; descriptive statistics applied to tracer data,About 4 years,Irregular,To unravel recharge processes taking place in a highly fractured slab of flysch rock hosting the corresponding aquifers,"Hydrochemistry, stable isotopes, discharge monitoring, northern Apennines, Italy"
